stimuli	category	run	trialNb	butMap	respKey1	respKey2	respInst1	respInst2	subNum	idealStimOnset	response	stimOnset
./src/stimuli/animal_sheep.jpg	animal	2	61	2	26	20	right/red	left/green	2	80	NaN	NaN
./src/stimuli/animal_zebra.jpg	animal	2	62	2	26	20	right/red	left/green	2	83.5	NaN	NaN
./src/stimuli/food_banana.jpg	food	2	63	2	26	20	right/red	left/green	2	87	NaN	NaN
./src/stimuli/food_cake.jpg	food	2	64	2	26	20	right/red	left/green	2	90.5	NaN	NaN
./src/stimuli/food_pizza.jpg	food	2	65	2	26	20	right/red	left/green	2	94	NaN	NaN
./src/stimuli/object_camera.jpg	objects	2	66	2	26	20	right/red	left/green	2	97.5	NaN	NaN
./src/stimuli/object_phone.jpg	objects	2	67	2	26	20	right/red	left/green	2	101	NaN	NaN
./src/stimuli/people_wheel_repair.jpg	people	2	68	2	26	20	right/red	left/green	2	104.5	NaN	NaN
./src/stimuli/people_crowd.jpg	people	2	69	2	26	20	right/red	left/green	2	108	NaN	NaN
./src/stimuli/people_frisbee.jpg	people	2	70	2	26	20	right/red	left/green	2	111.5	NaN	NaN
./src/stimuli/people_horse.jpg	people	2	71	2	26	20	right/red	left/green	2	115	NaN	NaN
./src/stimuli/people_inside.jpg	people	2	72	2	26	20	right/red	left/green	2	118.5	NaN	NaN
./src/stimuli/people_train.jpg	scene	2	73	2	26	20	right/red	left/green	2	122	NaN	NaN
./src/stimuli/scene_station.jpg	scene	2	74	2	26	20	right/red	left/green	2	125.5	NaN	NaN
./src/stimuli/scene_working_space.jpg	scene	2	75	2	26	20	right/red	left/green	2	129	NaN	NaN
./src/stimuli/sport_baseball.jpg	sport	2	76	2	26	20	right/red	left/green	2	132.5	NaN	NaN
./src/stimuli/sport_skate_park.jpg	sport	2	77	2	26	20	right/red	left/green	2	136	NaN	NaN
./src/stimuli/sport_skateboard.jpg	sport	2	78	2	26	20	right/red	left/green	2	139.5	NaN	NaN
./src/stimuli/sport_tennis.jpg	sport	2	79	2	26	20	right/red	left/green	2	143	NaN	NaN
./src/stimuli/vehicle_plane.jpg	vehicle	2	80	2	26	20	right/red	left/green	2	146.5	NaN	NaN
